jobId,arrivalTime,maxStartDelay,urgency,minTimeForHandling,maxTimeForHandling,location,terrain,vehicle,timeOfTheDay,weather,scenarioType
job0_scenario2_1,1,20,7,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job1_scenario2_3,3,20,2,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job2_scenario2_4,4,20,7,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job3_scenario1_5,5,20,2,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job4_scenario2_6,6,20,5,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job5_scenario1_7,7,20,3,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job6_scenario1_12,12,20,6,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job7_scenario1_13,13,20,2,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job8_scenario1_14,14,20,4,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job9_scenario1_15,15,20,5,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job10_scenario1_16,16,20,7,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job11_scenario2_20,20,20,5,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job12_scenario1_21,21,20,6,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job13_scenario1_22,22,20,1,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job14_scenario1_23,23,20,5,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job15_scenario2_27,27,20,6,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job16_scenario1_28,28,20,2,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job17_scenario2_29,29,20,5,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job18_scenario1_30,30,20,6,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job19_scenario1_31,31,20,4,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job20_scenario1_32,32,20,1,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job21_scenario1_34,34,20,10,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job22_scenario1_36,36,20,9,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job23_scenario1_37,37,20,10,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job24_scenario1_38,38,20,3,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job25_scenario2_39,39,20,1,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job26_scenario2_40,40,20,6,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job27_scenario3_41,41,20,10,0,0,west,asphalt,sedan,morning,sunshine,scenario3,
job28_scenario1_42,42,20,1,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job29_scenario1_44,44,20,5,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job30_scenario2_45,45,20,8,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job31_scenario1_46,46,20,10,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job32_scenario2_47,47,20,1,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job33_scenario1_48,48,20,5,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job34_scenario2_49,49,20,10,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job35_scenario1_50,50,20,2,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job36_scenario2_53,53,20,2,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job37_scenario1_54,54,20,5,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job38_scenario1_55,55,20,2,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job39_scenario1_56,56,20,8,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job40_scenario1_57,57,20,8,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job41_scenario1_58,58,20,1,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job42_scenario1_59,59,20,6,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job43_scenario2_61,61,20,1,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job44_scenario1_63,63,20,4,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job45_scenario1_64,64,20,8,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job46_scenario1_65,65,20,3,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job47_scenario1_66,66,20,7,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job48_scenario1_67,67,20,1,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job49_scenario1_68,68,20,4,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job50_scenario1_70,70,20,1,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job51_scenario1_71,71,20,7,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job52_scenario2_73,73,20,6,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job53_scenario1_75,75,20,9,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job54_scenario3_79,79,20,7,0,0,south,asphalt,sedan,morning,sunshine,scenario3,
job55_scenario1_80,80,20,6,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job56_scenario1_81,81,20,6,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job57_scenario2_82,82,20,4,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job58_scenario4_83,83,20,9,0,0,west,asphalt,sedan,morning,sunshine,scenario4,
job59_scenario2_86,86,20,6,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job60_scenario1_88,88,20,9,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job61_scenario2_89,89,20,3,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job62_scenario2_93,93,20,8,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job63_scenario1_94,94,20,5,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job64_scenario1_96,96,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job65_scenario2_98,98,20,6,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job66_scenario1_99,99,20,7,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job67_scenario1_100,100,20,3,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job68_scenario2_101,101,20,10,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job69_scenario1_102,102,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job70_scenario3_103,103,20,6,0,0,north,asphalt,sedan,morning,sunshine,scenario3,
job71_scenario3_104,104,20,9,0,0,north,asphalt,sedan,morning,sunshine,scenario3,
job72_scenario2_105,105,20,2,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job73_scenario2_106,106,20,8,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job74_scenario4_108,108,20,3,0,0,west,asphalt,sedan,morning,sunshine,scenario4,
job75_scenario1_109,109,20,7,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job76_scenario1_110,110,20,2,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job77_scenario1_111,111,20,4,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job78_scenario2_112,112,20,5,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job79_scenario1_113,113,20,9,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job80_scenario2_116,116,20,3,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job81_scenario1_117,117,20,4,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job82_scenario2_118,118,20,1,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job83_scenario1_119,119,20,10,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job84_scenario1_120,120,20,8,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job85_scenario1_123,123,20,10,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job86_scenario2_124,124,20,9,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job87_scenario4_125,125,20,2,0,0,north,asphalt,sedan,morning,sunshine,scenario4,
job88_scenario1_128,128,20,2,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job89_scenario1_129,129,20,2,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job90_scenario1_131,131,20,4,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job91_scenario1_132,132,20,7,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job92_scenario1_136,136,20,5,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job93_scenario1_137,137,20,2,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job94_scenario1_138,138,20,6,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job95_scenario3_139,139,20,1,0,0,west,asphalt,sedan,morning,sunshine,scenario3,
job96_scenario2_140,140,20,8,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job97_scenario1_141,141,20,10,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job98_scenario2_142,142,20,7,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job99_scenario2_143,143,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job100_scenario2_144,144,20,8,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job101_scenario2_145,145,20,5,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job102_scenario1_146,146,20,9,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job103_scenario2_147,147,20,1,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job104_scenario1_149,149,20,5,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job105_scenario1_150,150,20,5,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job106_scenario2_151,151,20,4,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job107_scenario2_153,153,20,9,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job108_scenario2_154,154,20,7,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job109_scenario1_155,155,20,10,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job110_scenario1_156,156,20,3,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job111_scenario1_158,158,20,2,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job112_scenario1_159,159,20,7,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job113_scenario1_161,161,20,8,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job114_scenario2_162,162,20,8,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job115_scenario2_163,163,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job116_scenario2_164,164,20,7,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job117_scenario1_165,165,20,9,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job118_scenario1_166,166,20,3,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job119_scenario4_167,167,20,3,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job120_scenario2_168,168,20,5,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job121_scenario2_170,170,20,7,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job122_scenario1_171,171,20,7,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job123_scenario1_172,172,20,2,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job124_scenario1_173,173,20,1,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job125_scenario1_174,174,20,8,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job126_scenario2_175,175,20,10,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job127_scenario2_177,177,20,5,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job128_scenario1_179,179,20,6,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job129_scenario2_180,180,20,7,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job130_scenario1_181,181,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job131_scenario2_182,182,20,4,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job132_scenario2_183,183,20,2,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job133_scenario1_184,184,20,3,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job134_scenario2_185,185,20,8,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job135_scenario2_186,186,20,8,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job136_scenario1_187,187,20,3,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job137_scenario2_188,188,20,3,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job138_scenario2_189,189,20,5,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job139_scenario2_190,190,20,1,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job140_scenario1_191,191,20,9,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job141_scenario2_192,192,20,1,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job142_scenario1_193,193,20,1,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job143_scenario2_194,194,20,9,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job144_scenario1_195,195,20,1,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job145_scenario2_196,196,20,9,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job146_scenario1_197,197,20,6,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job147_scenario4_198,198,20,9,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job148_scenario1_199,199,20,3,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job149_scenario1_200,200,20,2,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job150_scenario1_201,201,20,3,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job151_scenario3_202,202,20,5,0,0,north,asphalt,sedan,morning,sunshine,scenario3,
job152_scenario1_203,203,20,5,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job153_scenario2_204,204,20,5,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job154_scenario2_205,205,20,1,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job155_scenario3_206,206,20,2,0,0,east,asphalt,sedan,morning,sunshine,scenario3,
job156_scenario3_207,207,20,6,0,0,west,asphalt,sedan,morning,sunshine,scenario3,
job157_scenario2_208,208,20,1,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job158_scenario2_209,209,20,4,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job159_scenario2_210,210,20,7,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job160_scenario1_211,211,20,6,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job161_scenario2_212,212,20,4,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job162_scenario4_213,213,20,8,0,0,west,asphalt,sedan,morning,sunshine,scenario4,
job163_scenario2_214,214,20,1,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job164_scenario1_215,215,20,2,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job165_scenario2_216,216,20,10,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job166_scenario2_217,217,20,9,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job167_scenario1_218,218,20,8,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job168_scenario3_219,219,20,9,0,0,south,asphalt,sedan,morning,sunshine,scenario3,
job169_scenario1_220,220,20,1,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job170_scenario1_221,221,20,1,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job171_scenario2_222,222,20,3,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job172_scenario1_223,223,20,9,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job173_scenario4_224,224,20,8,0,0,north,asphalt,sedan,morning,sunshine,scenario4,
job174_scenario1_225,225,20,10,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job175_scenario2_226,226,20,3,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job176_scenario2_227,227,20,9,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job177_scenario1_228,228,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job178_scenario1_229,229,20,6,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job179_scenario2_230,230,20,6,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job180_scenario2_231,231,20,1,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job181_scenario2_232,232,20,8,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job182_scenario1_234,234,20,2,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job183_scenario2_235,235,20,6,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job184_scenario2_236,236,20,10,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job185_scenario2_237,237,20,5,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job186_scenario2_238,238,20,5,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job187_scenario1_239,239,20,3,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job188_scenario2_240,240,20,6,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job189_scenario2_241,241,20,3,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job190_scenario2_242,242,20,7,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job191_scenario2_243,243,20,8,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job192_scenario2_244,244,20,6,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job193_scenario1_245,245,20,1,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job194_scenario2_246,246,20,7,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job195_scenario2_247,247,20,7,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job196_scenario2_248,248,20,9,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job197_scenario2_249,249,20,8,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job198_scenario2_250,250,20,2,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job199_scenario4_251,251,20,7,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job200_scenario2_252,252,20,6,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job201_scenario2_253,253,20,6,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job202_scenario1_254,254,20,6,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job203_scenario1_255,255,20,9,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job204_scenario4_256,256,20,1,0,0,north,asphalt,sedan,morning,sunshine,scenario4,
job205_scenario1_257,257,20,7,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job206_scenario2_258,258,20,3,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job207_scenario2_259,259,20,3,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job208_scenario1_260,260,20,1,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
