job_id,worker_id,expected_time,simulated_time,expected_quality
job0_scenario2_1,os5,6,7,60
job1_scenario2_3,os5,6,6,60
job2_scenario2_4,os5,6,6,60
job3_scenario1_5,os5,9,10,70
job4_scenario2_6,os5,6,6,60
job5_scenario1_7,os5,9,8,70
job6_scenario1_12,os5,9,10,70
job7_scenario1_13,os5,9,8,70
job8_scenario1_14,os5,9,7,70
job9_scenario1_15,os5,9,9,70
job10_scenario1_16,os5,9,9,70
job11_scenario2_20,os5,6,5,60
job12_scenario1_21,os5,9,10,70
job13_scenario1_22,os5,9,8,70
job14_scenario1_23,os5,9,9,70
job15_scenario2_27,os5,6,5,60
job16_scenario1_28,os5,9,10,70
job17_scenario2_29,os5,6,5,60
job18_scenario1_30,os5,9,7,70
job19_scenario1_31,os5,9,9,70
job20_scenario1_32,os5,9,8,70
job21_scenario1_34,os5,9,10,70
job22_scenario1_36,os5,9,10,70
job23_scenario1_37,os5,9,8,70
job24_scenario1_38,os5,9,9,70
job25_scenario2_39,os5,6,7,60
job26_scenario2_40,os5,6,5,60
job27_scenario3_41,os5,4,3,20
job28_scenario1_42,os5,9,8,70
job29_scenario1_44,os5,9,8,70
job30_scenario2_45,os5,6,8,60
job31_scenario1_46,os5,9,7,70
job32_scenario2_47,os5,6,7,60
job33_scenario1_48,os5,9,10,70
job34_scenario2_49,os5,6,6,60
job35_scenario1_50,os5,9,9,70
job36_scenario2_53,os5,6,6,60
job37_scenario1_54,os5,9,10,70
job38_scenario1_55,os5,9,9,70
job39_scenario1_56,os5,9,9,70
job40_scenario1_57,os5,9,9,70
job41_scenario1_58,os5,9,8,70
job42_scenario1_59,os5,9,8,70
job43_scenario2_61,os5,6,5,60
job44_scenario1_63,os5,9,7,70
job45_scenario1_64,os5,9,7,70
job46_scenario1_65,os5,9,7,70
job47_scenario1_66,os5,9,8,70
job48_scenario1_67,os5,9,9,70
job49_scenario1_68,os5,9,7,70
job50_scenario1_70,os5,9,11,70
job51_scenario1_71,os5,9,8,70
job52_scenario2_73,os5,6,5,60
job53_scenario1_75,os5,9,10,70
job54_scenario3_79,os5,4,5,20
job55_scenario1_80,os5,9,9,70
job56_scenario1_81,os5,9,9,70
job57_scenario2_82,os5,6,7,60
job58_scenario4_83,os5,12,12,30
job59_scenario2_86,os5,6,7,60
job60_scenario1_88,os5,9,11,70
job61_scenario2_89,os5,6,4,60
job62_scenario2_93,os5,6,8,60
job63_scenario1_94,os5,9,8,70
job64_scenario1_96,os5,9,8,70
job65_scenario2_98,os5,6,6,60
job66_scenario1_99,os5,9,8,70
job67_scenario1_100,os5,9,8,70
job68_scenario2_101,os5,6,6,60
job69_scenario1_102,os5,9,9,70
job70_scenario3_103,os5,4,5,20
job71_scenario3_104,os5,4,3,20
job72_scenario2_105,os5,6,6,60
job73_scenario2_106,os5,6,5,60
job74_scenario4_108,os5,12,11,30
job75_scenario1_109,os5,9,8,70
job76_scenario1_110,os5,9,9,70
job77_scenario1_111,os5,9,9,70
job78_scenario2_112,os5,6,7,60
job79_scenario1_113,os5,9,10,70
job80_scenario2_116,os5,6,5,60
job81_scenario1_117,os5,9,10,70
job82_scenario2_118,os5,6,6,60
job83_scenario1_119,os5,9,7,70
job84_scenario1_120,os5,9,8,70
job85_scenario1_123,os5,9,9,70
job86_scenario2_124,os5,6,6,60
job87_scenario4_125,os5,12,10,30
job88_scenario1_128,os5,9,8,70
job89_scenario1_129,os5,9,9,70
job90_scenario1_131,os5,9,8,70
job91_scenario1_132,os5,9,10,70
job92_scenario1_136,os5,9,9,70
job93_scenario1_137,os5,9,8,70
job94_scenario1_138,os5,9,7,70
job95_scenario3_139,os5,4,2,20
job96_scenario2_140,os5,6,6,60
job97_scenario1_141,os5,9,9,70
job98_scenario2_142,os5,6,5,60
job99_scenario2_143,os5,6,5,60
job100_scenario2_144,os5,6,6,60
job101_scenario2_145,os5,6,5,60
job102_scenario1_146,os5,9,9,70
job103_scenario2_147,os5,6,6,60
job104_scenario1_149,os5,9,7,70
job105_scenario1_150,os5,9,8,70
job106_scenario2_151,os5,6,6,60
job107_scenario2_153,os5,6,6,60
job108_scenario2_154,os5,6,6,60
job109_scenario1_155,os5,9,9,70
job110_scenario1_156,os5,9,8,70
job111_scenario1_158,os5,9,10,70
job112_scenario1_159,os5,9,8,70
job113_scenario1_161,os5,9,9,70
job114_scenario2_162,os5,6,4,60
job115_scenario2_163,os5,6,6,60
job116_scenario2_164,os5,6,6,60
job117_scenario1_165,os5,9,9,70
job118_scenario1_166,os5,9,8,70
job119_scenario4_167,os5,12,13,30
job120_scenario2_168,os5,6,6,60
job121_scenario2_170,os5,6,5,60
job122_scenario1_171,os5,9,7,70
job123_scenario1_172,os5,9,10,70
job124_scenario1_173,os5,9,10,70
job125_scenario1_174,os5,9,7,70
job126_scenario2_175,os5,6,7,60
job127_scenario2_177,os5,6,6,60
job128_scenario1_179,os5,9,10,70
job129_scenario2_180,os5,6,5,60
job130_scenario1_181,os5,9,9,70
job131_scenario2_182,os5,6,6,60
job132_scenario2_183,os5,6,7,60
job133_scenario1_184,os5,9,10,70
job134_scenario2_185,os5,6,7,60
job135_scenario2_186,os5,6,7,60
job136_scenario1_187,os5,9,8,70
job137_scenario2_188,os5,6,7,60
job138_scenario2_189,os5,6,6,60
job139_scenario2_190,os5,6,7,60
job140_scenario1_191,os5,9,6,70
job141_scenario2_192,os5,6,7,60
job142_scenario1_193,os5,9,10,70
job143_scenario2_194,os5,6,4,60
job144_scenario1_195,os5,9,8,70
job145_scenario2_196,os5,6,3,60
job146_scenario1_197,os5,9,4,70
job147_scenario4_198,os5,12,12,30
job148_scenario1_199,os5,9,7,70
job149_scenario1_200,os5,9,10,70
job150_scenario1_201,os5,9,7,70
job151_scenario3_202,os5,4,4,20
job152_scenario1_203,os5,9,8,70
job153_scenario2_204,os5,6,7,60
job154_scenario2_205,os5,6,8,60
job155_scenario3_206,os5,4,3,20
job156_scenario3_207,os5,4,4,20
job157_scenario2_208,os5,6,4,60
job158_scenario2_209,os5,6,8,60
job159_scenario2_210,os5,6,6,60
job160_scenario1_211,os5,9,8,70
job161_scenario2_212,os5,6,5,60
job162_scenario4_213,os5,12,10,30
job163_scenario2_214,os5,6,8,60
job164_scenario1_215,os5,9,9,70
job165_scenario2_216,os5,6,7,60
job166_scenario2_217,os5,6,5,60
job167_scenario1_218,os5,9,8,70
job168_scenario3_219,os5,4,4,20
job169_scenario1_220,os5,9,10,70
job170_scenario1_221,os5,9,9,70
job171_scenario2_222,os5,6,5,60
job172_scenario1_223,os5,9,9,70
job173_scenario4_224,os5,12,12,30
job174_scenario1_225,os5,9,9,70
job175_scenario2_226,os5,6,6,60
job176_scenario2_227,os5,6,4,60
job177_scenario1_228,os5,9,8,70
job178_scenario1_229,os5,9,10,70
job179_scenario2_230,os5,6,7,60
job180_scenario2_231,os5,6,7,60
job181_scenario2_232,os5,6,4,60
job182_scenario1_234,os5,9,8,70
job183_scenario2_235,os5,6,6,60
job184_scenario2_236,os5,6,4,60
job185_scenario2_237,os5,6,6,60
job186_scenario2_238,os5,6,6,60
job187_scenario1_239,os5,9,11,70
job188_scenario2_240,os5,6,7,60
job189_scenario2_241,os5,6,6,60
job190_scenario2_242,os5,6,6,60
job191_scenario2_243,os5,6,6,60
job192_scenario2_244,os5,6,6,60
job193_scenario1_245,os5,9,9,70
job194_scenario2_246,os5,6,6,60
job195_scenario2_247,os5,6,7,60
job196_scenario2_248,os5,6,8,60
job197_scenario2_249,os5,6,7,60
job198_scenario2_250,os5,6,5,60
job199_scenario4_251,os5,12,12,30
job200_scenario2_252,os5,6,7,60
job201_scenario2_253,os5,6,7,60
job202_scenario1_254,os5,9,9,70
job203_scenario1_255,os5,9,11,70
job204_scenario4_256,os5,12,12,30
job205_scenario1_257,os5,9,9,70
job206_scenario2_258,os5,6,5,60
job207_scenario2_259,os5,6,5,60
job208_scenario1_260,os5,9,6,70
job209_scenario2_261,os5,6,5,60
job210_scenario2_262,os5,6,6,60
job211_scenario2_263,os5,6,8,60
job212_scenario3_264,os5,4,3,20
job213_scenario2_265,os5,6,6,60
job214_scenario3_266,os5,4,4,20
job215_scenario1_267,os5,9,9,70
job216_scenario3_268,os5,4,4,20
job217_scenario1_269,os5,9,8,70
job218_scenario2_271,os5,6,7,60
job219_scenario2_272,os5,6,6,60
job220_scenario1_273,os5,9,8,70
job221_scenario4_274,os5,12,11,30
job222_scenario2_275,os5,6,7,60
job223_scenario3_276,os5,4,4,20
job224_scenario1_277,os5,9,9,70
job225_scenario2_278,os5,6,7,60
job226_scenario1_279,os5,9,8,70
job227_scenario1_280,os5,9,10,70
job228_scenario2_282,os5,6,6,60
job229_scenario2_284,os5,6,6,60
job230_scenario2_285,os5,6,7,60
job231_scenario2_286,os5,6,5,60
job232_scenario1_287,os5,9,10,70
job233_scenario1_288,os5,9,8,70
job234_scenario2_289,os5,6,7,60
job235_scenario1_290,os5,9,8,70
job236_scenario1_292,os5,9,8,70
job237_scenario2_293,os5,6,5,60
job238_scenario1_294,os5,9,7,70
job239_scenario1_296,os5,9,10,70
job240_scenario1_297,os5,9,8,70
job241_scenario1_298,os5,9,8,70
job242_scenario2_300,os5,6,4,60
job243_scenario1_301,os5,9,10,70
job244_scenario1_303,os5,9,9,70
job245_scenario2_304,os5,6,5,60
job246_scenario2_306,os5,6,6,60
job247_scenario1_307,os5,9,10,70
job248_scenario1_308,os5,9,10,70
job249_scenario2_309,os5,6,5,60
job250_scenario4_310,os5,12,11,30
job251_scenario2_312,os5,6,6,60
job252_scenario2_314,os5,6,6,60
job253_scenario2_315,os5,6,5,60
job254_scenario2_316,os5,6,8,60
job255_scenario2_317,os5,6,4,60
job256_scenario2_318,os5,6,6,60
job257_scenario1_320,os5,9,10,70
job258_scenario1_321,os5,9,8,70
job259_scenario3_323,os5,4,5,20
job260_scenario1_324,os5,9,9,70
job261_scenario1_325,os5,9,7,70
job262_scenario1_326,os5,9,8,70
job263_scenario1_327,os5,9,10,70
job264_scenario1_328,os5,9,8,70
job265_scenario1_329,os5,9,9,70
job266_scenario4_330,os5,12,13,30
job267_scenario1_332,os5,9,9,70
job268_scenario2_333,os5,6,4,60
job269_scenario1_334,os5,9,10,70
job270_scenario1_336,os5,9,9,70
job271_scenario1_337,os5,9,9,70
job272_scenario4_338,os5,12,11,30
job273_scenario2_339,os5,6,6,60
job274_scenario2_340,os5,6,5,60
job275_scenario1_341,os5,9,8,70
job276_scenario1_343,os5,9,8,70
job277_scenario2_345,os5,6,5,60
job278_scenario1_346,os5,9,8,70
job279_scenario2_347,os5,6,5,60
job280_scenario2_348,os5,6,4,60
job281_scenario2_349,os5,6,5,60
job282_scenario1_350,os5,9,8,70
job283_scenario1_351,os5,9,9,70
job284_scenario2_355,os5,6,5,60
job285_scenario2_357,os5,6,6,60
job286_scenario1_358,os5,9,8,70
job0_scenario2_1,B22,5,4,60
job1_scenario2_3,B22,5,4,60
job2_scenario2_4,B22,5,3,60
job3_scenario1_5,B22,15,16,70
job4_scenario2_6,B22,5,5,60
job5_scenario1_7,B22,15,15,70
job6_scenario1_12,B22,15,14,70
job7_scenario1_13,B22,15,14,70
job8_scenario1_14,B22,15,17,70
job9_scenario1_15,B22,15,17,70
job10_scenario1_16,B22,15,17,70
job11_scenario2_20,B22,5,5,60
job12_scenario1_21,B22,15,16,70
job13_scenario1_22,B22,15,17,70
job14_scenario1_23,B22,15,14,70
job15_scenario2_27,B22,5,4,60
job16_scenario1_28,B22,15,16,70
job17_scenario2_29,B22,5,5,60
job18_scenario1_30,B22,15,15,70
job19_scenario1_31,B22,15,18,70
job20_scenario1_32,B22,15,14,70
job21_scenario1_34,B22,15,16,70
job22_scenario1_36,B22,15,15,70
job23_scenario1_37,B22,15,15,70
job24_scenario1_38,B22,15,16,70
job25_scenario2_39,B22,5,4,60
job26_scenario2_40,B22,5,4,60
job27_scenario3_41,B22,4,4,20
job28_scenario1_42,B22,15,15,70
job29_scenario1_44,B22,15,14,70
job30_scenario2_45,B22,5,6,60
job31_scenario1_46,B22,15,16,70
job32_scenario2_47,B22,5,3,60
job33_scenario1_48,B22,15,15,70
job34_scenario2_49,B22,5,6,60
job35_scenario1_50,B22,15,14,70
job36_scenario2_53,B22,5,4,60
job37_scenario1_54,B22,15,16,70
job38_scenario1_55,B22,15,16,70
job39_scenario1_56,B22,15,16,70
job40_scenario1_57,B22,15,16,70
job41_scenario1_58,B22,15,14,70
job42_scenario1_59,B22,15,18,70
job43_scenario2_61,B22,5,5,60
job44_scenario1_63,B22,15,15,70
job45_scenario1_64,B22,15,15,70
job46_scenario1_65,B22,15,17,70
job47_scenario1_66,B22,15,15,70
job48_scenario1_67,B22,15,15,70
job49_scenario1_68,B22,15,18,70
job50_scenario1_70,B22,15,16,70
job51_scenario1_71,B22,15,16,70
job52_scenario2_73,B22,5,4,60
job53_scenario1_75,B22,15,16,70
job54_scenario3_79,B22,4,3,20
job55_scenario1_80,B22,15,15,70
job56_scenario1_81,B22,15,15,70
job57_scenario2_82,B22,5,4,60
job58_scenario4_83,B22,6,7,30
job59_scenario2_86,B22,5,5,60
job60_scenario1_88,B22,15,16,70
job61_scenario2_89,B22,5,6,60
job62_scenario2_93,B22,5,3,60
job63_scenario1_94,B22,15,15,70
job64_scenario1_96,B22,15,13,70
job65_scenario2_98,B22,5,3,60
job66_scenario1_99,B22,15,14,70
job67_scenario1_100,B22,15,15,70
job68_scenario2_101,B22,5,5,60
job69_scenario1_102,B22,15,14,70
job70_scenario3_103,B22,4,3,20
job71_scenario3_104,B22,4,3,20
job72_scenario2_105,B22,5,5,60
job73_scenario2_106,B22,5,4,60
job74_scenario4_108,B22,6,8,30
job75_scenario1_109,B22,15,15,70
job76_scenario1_110,B22,15,17,70
job77_scenario1_111,B22,15,14,70
job78_scenario2_112,B22,5,6,60
job79_scenario1_113,B22,15,14,70
job80_scenario2_116,B22,5,5,60
job81_scenario1_117,B22,15,15,70
job82_scenario2_118,B22,5,2,60
job83_scenario1_119,B22,15,16,70
job84_scenario1_120,B22,15,12,70
job85_scenario1_123,B22,15,16,70
job86_scenario2_124,B22,5,4,60
job87_scenario4_125,B22,6,5,30
job88_scenario1_128,B22,15,16,70
job89_scenario1_129,B22,15,15,70
job90_scenario1_131,B22,15,14,70
job91_scenario1_132,B22,15,18,70
job92_scenario1_136,B22,15,15,70
job93_scenario1_137,B22,15,15,70
job94_scenario1_138,B22,15,16,70
job95_scenario3_139,B22,4,5,20
job96_scenario2_140,B22,5,7,60
job97_scenario1_141,B22,15,15,70
job98_scenario2_142,B22,5,6,60
job99_scenario2_143,B22,5,4,60
job100_scenario2_144,B22,5,5,60
job101_scenario2_145,B22,5,4,60
job102_scenario1_146,B22,15,16,70
job103_scenario2_147,B22,5,6,60
job104_scenario1_149,B22,15,14,70
job105_scenario1_150,B22,15,15,70
job106_scenario2_151,B22,5,6,60
job107_scenario2_153,B22,5,5,60
job108_scenario2_154,B22,5,5,60
job109_scenario1_155,B22,15,14,70
job110_scenario1_156,B22,15,14,70
job111_scenario1_158,B22,15,16,70
job112_scenario1_159,B22,15,13,70
job113_scenario1_161,B22,15,14,70
job114_scenario2_162,B22,5,4,60
job115_scenario2_163,B22,5,5,60
job116_scenario2_164,B22,5,5,60
job117_scenario1_165,B22,15,15,70
job118_scenario1_166,B22,15,16,70
job119_scenario4_167,B22,6,7,30
job120_scenario2_168,B22,5,4,60
job121_scenario2_170,B22,5,5,60
